object	predicate	subject	#object	#subject	freq
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Systemic juvenile chronic arthritis	2	27	0.0740740740741
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Hereditary Periodic Fever Syndromes	1	18	0.0555555555556
IL1B gene|IL1B	PREDISPOSES	Resorption of apex of tooth	3	71	0.0422535211268
Interleukin-1 beta|IL1B	AUGMENTS	Acute pulpitis	1	31	0.0322580645161
IL1B gene|IL1B	ASSOCIATED_WITH	Resorption of apex of tooth	2	71	0.0281690140845
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Disorder of tendon	1	62	0.0161290322581
IL1B	CAUSES	Streptococcal arthritis	1	66	0.0151515151515
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Familial amyloid nephropathy with urticaria AND deafness	1	68	0.0147058823529
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Acute pelvic inflammatory disease NOS	1	87	0.0114942528736
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Osteodystrophy	1	159	0.0062893081761
IL1B gene|IL1B	ASSOCIATED_WITH	Chlamydia pneumoniae infection	1	160	0.00625
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Periodic syndrome	1	170	0.00588235294118
Interleukin-1 beta|IL1B	PREDISPOSES	early disease onset	1	171	0.00584795321637
IL1B	ASSOCIATED_WITH	Primary gout	1	184	0.0054347826087
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Diffuse panbronchiolitis	1	195	0.00512820512821
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Corneal infection	1	199	0.00502512562814
IL1B gene|IL1B	PREDISPOSES	Chagas Cardiomyopathy	1	200	0.005
IL1B gene|IL1B	ASSOCIATED_WITH	Gastritis, Atrophic	4	802	0.00498753117207
IL1B gene|IL1B	ASSOCIATED_WITH	Adult periodontitis	1	229	0.00436681222707
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Mixed cryoglobulinemia	1	237	0.0042194092827
IL1B gene|IL1B	ASSOCIATED_WITH	Systemic onset juvenile chronic arthritis	1	240	0.00416666666667
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Tendinitis	1	288	0.00347222222222
Interleukin-1 beta|IL1B	AFFECTS	Oedema auricular	1	297	0.003367003367
IL1B	CAUSES	Arthritis, Gouty	1	299	0.00334448160535
IL1B	ASSOCIATED_WITH	Chronic colitis	1	309	0.00323624595469
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Myositis, Inclusion Body	1	312	0.00320512820513
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Malaria, Vivax	1	321	0.00311526479751
IL1B gene|IL1B	ASSOCIATED_WITH	Prosthetic joint infection	1	322	0.00310559006211
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	AIDS Dementia Complex	1	330	0.0030303030303
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Myelitis	1	331	0.00302114803625
Interleukin-1 beta|IL1B	AUGMENTS	Pouchitis	1	332	0.00301204819277
IL1B gene|IL1B	AFFECTS	Pulmonary Cystic Fibrosis	1	359	0.00278551532033
IL1B	AFFECTS	Pulmonary Cystic Fibrosis	1	359	0.00278551532033
IL1B gene|IL1B	ASSOCIATED_WITH	Periodontitis	7	2616	0.00267584097859
IL1B	ASSOCIATED_WITH	Mastocytosis, Systemic	1	383	0.00261096605744
IL1B	AUGMENTS	Central retinal vein occlusion	1	424	0.00235849056604
IL1B gene|IL1B	CAUSES	Osteoarthritis, Hip	1	460	0.00217391304348
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Chronic prostatitis	1	461	0.00216919739696
Interleukin-1 beta|IL1B	PREDISPOSES	Chronic prostatitis	1	461	0.00216919739696
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Meningitis, Bacterial	2	969	0.00206398348813
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Meningococcal Infections	1	533	0.00187617260788
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Arthritis, Reactive	1	544	0.00183823529412
IL1B gene|IL1B	ASSOCIATED_WITH	Febrile Convulsions	1	548	0.00182481751825
IL1B gene|IL1B	PREDISPOSES	Febrile Convulsions	1	548	0.00182481751825
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Febrile Convulsions	1	548	0.00182481751825
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Degenerative polyarthritis	9	5144	0.00174961119751
Interleukin-1 beta|IL1B	AFFECTS	immunotoxicity	1	605	0.00165289256198
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Duodenal Ulcer	3	1827	0.00164203612479
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Gout	2	1229	0.00162733930024
IL1B gene|IL1B	ASSOCIATED_WITH	Transient ischemia	1	616	0.00162337662338
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Local disease	1	626	0.00159744408946
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Optic Neuritis	1	636	0.00157232704403
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Inflammatory disorder	8	5240	0.00152671755725
IL1B gene|IL1B	ASSOCIATED_WITH	Periodontal Diseases	3	1992	0.00150602409639
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Gastritis	2	1366	0.00146412884334
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	thrombocytosis	1	684	0.00146198830409
Interleukin-1 beta|IL1B	PREDISPOSES	Keratoconus	1	747	0.00133868808568
Interleukin-1 beta|IL1B	PREDISPOSES	Peptic Esophagitis	1	747	0.00133868808568
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Keratoconus	1	747	0.00133868808568
